id,last_scraped,neighbourhood,neighbourhood_cleansed,city,country,latitude,longitude,price,bathrooms,bedrooms,beds,bed_type,guests_included
44054,2019-02-11,Shuangjing,朝阳区 / Chaoyang,Beijing,China,39.89502976848909,116.4516347495182,796.0,2.0,3.0,4.0,Real Bed,7
100213,2019-02-11,,密云县 / Miyun,Beijing,China,40.684339773298746,117.17231304361256,1201.0,1.0,1.0,1.0,Real Bed,1
128496,2019-02-11,Dong Si,东城区,Beijing,China,39.93212988040019,116.42199836724964,391.0,1.0,1.0,1.0,Real Bed,2
161902,2019-02-11,Sanlitun,东城区,Beijing,China,39.93356634823392,116.43576522314964,378.0,1.0,1.0,1.0,Real Bed,1
162144,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Beijing,China,39.93668031958748,116.43798480483846,540.0,1.0,1.0,2.0,Real Bed,1
279078,2019-02-11,Sanlitun,东城区,Beijing,China,39.939584842819954,116.43484518524484,398.0,1.0,1.0,1.0,Real Bed,2
282825,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Beijing,China,39.937118416177206,116.45088803639597,641.0,2.0,2.0,3.0,Real Bed,2
287026,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.94114528232101,116.4412196630638,418.0,1.0,1.0,1.0,Real Bed,2
287511,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.94032099365852,116.4422678347018,418.0,1.0,1.0,1.0,Real Bed,2
314453,2019-02-11,Dongzhimen,东城区,Beijing,China,39.93943126799599,116.43362379135992,398.0,1.0,1.0,1.0,Real Bed,2
317195,2019-02-11,Sanlitun,东城区,Beijing,China,39.939463270450815,116.43544528913378,546.0,,1.0,1.0,Real Bed,2
322292,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.938485440571405,116.44065667342628,418.0,1.0,1.0,1.0,Real Bed,2
398784,2019-02-11,Shuangjing,朝阳区 / Chaoyang,Beijing,China,39.894033978276674,116.44895697179663,863.0,1.0,1.0,1.0,Real Bed,1
445306,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.91341579419986,116.4183743332568,911.0,1.0,2.0,2.0,Real Bed,4
456641,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.93848050175757,116.44248343720872,418.0,1.0,1.0,1.0,Real Bed,2
458561,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.93966509928361,116.44128488678147,479.0,1.0,1.0,1.0,Real Bed,2
491280,2019-02-11,Sanlitun,东城区,Beijing,China,39.93516229736818,116.43681886410984,378.0,1.0,1.0,1.0,Real Bed,1
498126,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.94058634877554,116.44174802640929,418.0,1.0,1.0,1.0,Real Bed,2
522237,2019-02-11,Xicheng,西城区,Beijing,China,39.92381754633421,116.37009456158268,580.0,1.0,1.0,1.0,Real Bed,3
537674,2019-02-11,Xicheng,西城区,Beijing,China,39.92411678696425,116.37062799283908,6003.0,7.0,7.0,7.0,Real Bed,1
537675,2019-02-11,Xicheng,西城区,Beijing,China,39.92417432065009,116.3704064301216,580.0,1.0,1.0,1.0,Real Bed,3
554123,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.93879149459472,116.44120256441911,418.0,1.0,1.0,1.0,Real Bed,2
627240,2019-02-11,Xizhimen,海淀区,Beijing,China,39.94956490297442,116.34887154464538,398.0,2.0,1.0,1.0,Couch,1
685820,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Beijing,China,39.901325511618815,116.48153597231848,425.0,1.0,1.0,1.0,Real Bed,1
732687,2019-02-11,Shazikou,东城区,Beijing,China,39.85983063769134,116.38919789577044,304.0,1.0,1.0,1.0,Real Bed,2
762579,2019-02-11,Xizhimen,海淀区,Bejing,China,39.94612035264827,116.34326285385538,1322.0,2.0,3.0,3.0,Real Bed,1
824570,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Beijing,China,39.89854183383631,116.4833844195074,459.0,1.0,1.0,1.0,Real Bed,1
829407,2019-02-11,Shichahai,东城区,Beijing ,China,39.93900003717762,116.39129294158536,290.0,1.0,1.0,2.0,Real Bed,1
851984,2019-02-11,Shichahai,东城区,Beijing,China,39.939227817990144,116.39093533587317,263.0,1.0,1.0,1.0,Real Bed,1
855090,2019-02-11,Shichahai,东城区,Beijing,China,39.93946149448575,116.39160534439918,243.0,0.5,1.0,2.0,Real Bed,1
873692,2019-02-11,,密云县 / Miyun,Beijing,China,40.68601744020901,117.17304176774,681.0,1.0,1.0,2.0,Real Bed,4
906434,2019-02-11,Shichahai,东城区,Beijing,China,39.946321159926086,116.3926547116444,668.0,1.0,1.0,2.0,Real Bed,2
940126,2019-02-11,,顺义区 / Shunyi,Beijing,China,40.1044010527953,116.54955227040185,621.0,1.5,1.0,1.0,Real Bed,1
975146,2019-02-11,,东城区,Beijing,China,39.93994196909735,116.42344644231449,486.0,1.0,1.0,1.0,Real Bed,2
1001527,2019-02-11,,东城区,Beijing,China,39.94012415633705,116.43791505884704,418.0,1.0,1.0,1.0,Real Bed,2
1087381,2019-02-11,Sanlitun,东城区,베이징,China,39.93794530452153,116.4353902939266,560.0,1.0,1.0,1.0,Real Bed,2
1115437,2019-02-11,Guangqumenwai,朝阳区 / Chaoyang,Beijing,China,39.90365795292596,116.43564455112588,708.0,1.0,2.0,3.0,Real Bed,3
1124875,2019-02-11,Haidian,海淀区,北京,China,39.92636858744942,116.25927161629254,216.0,2.0,1.0,1.0,Real Bed,1
1160338,2019-02-11,ITC,朝阳区 / Chaoyang,Beijing,China,39.917309923365714,116.4547929476867,971.0,2.0,2.0,2.0,Real Bed,4
1160910,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.91900544495607,116.41932144224668,499.0,4.0,1.0,8.0,Real Bed,1
1165040,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.92155154911091,116.42246639211136,135.0,1.0,1.0,1.0,Real Bed,1
1165067,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.92079614866441,116.4204748031338,506.0,1.0,1.0,1.0,Real Bed,2
1198579,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.9208778825935,116.42236121046984,600.0,1.0,1.0,1.0,Real Bed,1
1199365,2019-02-11,Wai Avenue,朝阳区 / Chaoyang,Beijing,China,39.91923733839457,116.4438749620714,438.0,1.0,1.0,1.0,Real Bed,1
1210064,2019-02-11,,朝阳区 / Chaoyang,Beijing,China,39.969138944522605,116.43211958871838,277.0,1.0,1.0,1.0,Real Bed,1
1237187,2019-02-11,Shuangjing,朝阳区 / Chaoyang,Beijing,China,39.8948460001691,116.451723404516,863.0,2.0,3.0,4.0,Real Bed,7
1276777,2019-02-11,Shuangjing,朝阳区 / Chaoyang,Beijing,China,39.8950361527221,116.45130836005768,742.0,2.0,3.0,5.0,Real Bed,8
1285333,2019-02-11,Jiuxianqiao,朝阳区 / Chaoyang,Beijing,China,39.99380561785098,116.4993591790982,236.0,0.5,1.0,1.0,Real Bed,1
1302948,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.92061731112887,116.420541621512,708.0,1.0,1.0,2.0,Real Bed,1
1303113,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.92051041016441,116.42229389781784,978.0,1.0,1.0,1.0,Real Bed,1
1303170,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.92103884182935,116.42077802253124,1153.0,1.0,1.0,1.0,Real Bed,1
1325945,2019-02-11,Jiuxianqiao,朝阳区 / Chaoyang,Beijing,China,39.99211581970939,116.49869630358388,270.0,1.0,1.0,1.0,Real Bed,1
1370541,2019-02-11,,房山区,Fangshan,China,39.75601047511235,116.21240431264542,67.0,1.0,1.0,1.0,Real Bed,1
1383368,2019-02-11,,石景山区,Beijing,China,39.92969065145677,116.18900956350464,108.0,1.0,1.0,1.0,Real Bed,1
1484562,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Beijing,China,39.92575240753157,116.52234674990552,128.0,1.0,1.0,1.0,Real Bed,1
1491640,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Beijing,China,39.90545297755255,116.57648678891196,337.0,1.0,1.0,1.0,Real Bed,1
1521874,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Beijing,China,39.948285759428586,116.49684229213015,169.0,0.5,1.0,1.0,Real Bed,1
1543047,2019-02-11,Shichahai,东城区,Beijing,China,39.9379257965728,116.39264490686708,283.0,1.0,1.0,1.0,Real Bed,1
1635589,2019-02-11,Wangjing,朝阳区 / Chaoyang,Beijing,China,40.00121364996474,116.48360362279134,202.0,1.0,1.0,1.0,Real Bed,1
1642183,2019-02-11,Dawanglu,朝阳区 / Chaoyang,Beijing,China,39.92164222117124,116.48290612430638,499.0,1.0,1.0,1.0,Real Bed,1
1643534,2019-02-11,Dongcheng,朝阳区 / Chaoyang,Beijing,China,39.881220012424336,116.44043560668054,378.0,1.0,1.0,2.0,Real Bed,2
1661849,2019-02-11,Xicheng,西城区,Beijing,China,39.925529287722014,116.3699050744758,668.0,1.0,1.0,1.0,Real Bed,1
1694369,2019-02-11,Guangqumenwai,东城区,Beijing,China,39.89325734801962,116.43437596636632,661.0,1.0,2.0,4.0,Real Bed,4
1777848,2019-02-11,Jiuxianqiao,朝阳区 / Chaoyang,Beijing,China,39.9798327506073,116.49724182581149,499.0,2.0,2.0,2.0,Real Bed,1
1779178,2019-02-11,Zhuang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.91094019113247,116.5771321802787,128.0,1.0,1.0,1.0,Real Bed,1
1784379,2019-02-11,Zizhuqiao,海淀区,Haidian,China,39.95600233437576,116.30165129828436,155.0,0.5,1.0,1.0,Real Bed,1
1787002,2019-02-11,Dongzhimen,东城区,Dongcheng Qu,China,39.940604938338886,116.42195636552384,202.0,1.0,1.0,1.0,Real Bed,2
1787751,2019-02-11,Sanlitun,东城区,Beijing,China,39.93600528468936,116.43684162981434,540.0,1.0,1.0,2.0,Real Bed,1
